"cerealName","parsedName","brand","dietLabels","healthLabels","calories","Energy_kcal","Total.lipid..fat._g","Fatty.acids..total.saturated_g","Fatty.acids..total.trans_g","Fatty.acids..total.monounsaturated_g","Fatty.acids..total.polyunsaturated_g","Carbohydrate..by.difference_g","Carbohydrates..net._g","Fiber..total.dietary_g","Sugars..total_g","Protein_g","Cholesterol_mg","Sodium..Na_mg","Calcium..Ca_mg","Magnesium..Mg_mg","Potassium..K_mg","Iron..Fe_mg","Zinc..Zn_mg","Phosphorus..P_mg","Vitamin.A..RAE_µg","Vitamin.C..total.ascorbic.acid_mg","Thiamin_mg","Riboflavin_mg","Niacin_mg","Vitamin.B.6_mg","Folate..DFE_µg","Folate..food_µg","Folic.acid_µg","Vitamin.B.12_µg","Vitamin.D..D2...D3._µg","Vitamin.E..alpha.tocopherol._mg","Vitamin.K..phylloquinone._µg","Water_g","Energy_pct","Fat_pct","Saturated_pct","Carbs_pct","Fiber_pct","Protein_pct","Cholesterol_pct","Sodium_pct","Calcium_pct","Magnesium_pct","Potassium_pct","Iron_pct","Zinc_pct","Phosphorus_pct","Vitamin.A_pct","Vitamin.C_pct","Thiamin..B1._pct","Riboflavin..B2._pct","Niacin..B3._pct","Vitamin.B6_pct","Folate.equivalent..total._pct","Vitamin.B12_pct","Vitamin.D_pct","Vitamin.E_pct","Vitamin.K_pct","rawGPTRank","gptDescription"
"General Mills Lucky Charms","unparsed","generalMills","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",136,136.8,1.81,0.32,0,0.57,0.56,29.12,27.32,1.8,13.01,2.76,0,233.28,156.24,26.64,79.92,8.02,6.7,104.04,304.92,9.58,0.63,0.62,9.11,1.08,448.56,6.84,259.92,2.45,1.4,0.16,0.5,1.49,6.84,2.78,1.59,9.71,7.2,5.52,0,9.72,15.62,6.34,1.7,44.54,60.94,14.86,33.88,10.64,52.11,47.71,56.92,83.35,112.14,102,9.36,1.08,0.42,"6.5","General Mills Lucky Charms :  is a cereal filled with sweet crunchy oat pieces and colorful marshmallows, creating the perfect combination of sweetness and texture."
"General Mills Multi Grain Cheerios","unparsed","generalMills","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",107,107.3,1.19,0.26,0,0.35,0.49,23.61,21.08,2.52,6.15,2.41,0,116.29,100.05,15.95,140.07,8.09,3.74,80.04,145.58,6,0.37,0.44,4.99,0.5,336.11,5.51,194.59,1.51,0.99,0.18,0.52,0.72,5.36,1.82,1.29,7.87,10.09,4.81,0,4.85,10.01,3.8,2.98,44.93,33.98,11.43,16.18,6.67,31.18,33.46,31.18,38.37,84.03,62.71,6.57,1.2,0.44,"8.5","General Mills Multi Grain Cheerios :  is a breakfast cereal with a crunchy whole grain oat and wheat cereal. It has a lightly sweetened taste and is fortified with 12 vitamins and minerals to provide essential nutrients."
"General Mills Oatmeal Crisp","unparsed","generalMills","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",201,201.3,0.72,0.08,NA,0.09,0.31,45.21,36.13,9.07,0.59,4.34,0,225.5,17.05,42.9,175.45,1.34,1.31,147.95,0,0,0.13,0.08,0.57,0.12,35.75,12.1,13.75,0,0,0.45,3.3,3.36,10.06,1.1,0.4,15.07,36.3,8.69,0,9.4,1.71,10.21,3.73,7.42,11.95,21.14,0,0,11.14,6.13,3.58,8.88,8.94,0,0,2.97,2.75,"6.5","General Mills Oatmeal Crisp :  is a wholesome breakfast cereal that is packed with oat-fiber and crunchy whole-grain flakes. It is a delicious way to start your day with a satisfying cereal that your family will love."
"General Mills Raisin Nut Bran","unparsed","generalMills","LOW_FAT","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",240,240.43,3.46,0.65,0.45,0.84,1.05,52.98,46.51,6.47,18.69,4.57,0,297.92,26.79,42.47,171.83,6,5.02,133.28,0,0.2,0.52,0.58,6.66,0.67,218.21,12.41,120.87,2.02,0,0.94,2.55,2.61,12.02,5.33,3.27,17.66,25.87,9.15,0,12.41,2.68,10.11,3.66,33.36,45.67,19.04,0,0.22,43.56,44.73,41.61,51.26,54.55,84.12,0,6.27,2.12,"8.5","General Mills Raisin Nut Bran :  is a fortified and fiber rich cereal made using crunchy wheat and corn bran flakes along with plump raisins and almonds. It’s a great way to start your day as it gives you sustained energy and essential nutrients."
"General Mills Reese's Peanut Butter Puffs","unparsed","generalMills","LOW_CARB, LOW_SODIUM","KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, SPECIFIC_CARBS, MEDITERRANEAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_SUGAR_ADDED, SULPHITE_FREE, FODMAP_FREE, KOSHER",1542,1542.84,132.51,26.64,0.19,66.93,32.34,57.56,44.66,12.9,27.06,57.3,0,43.86,126.42,433.44,1439.64,4.49,6.48,864.3,0,0,0.39,0.5,33.83,1.14,224.46,224.46,0,0,0,23.48,0.77,3.17,77.14,203.86,133.19,19.19,51.6,114.6,0,1.83,12.64,103.2,30.63,24.94,58.87,123.47,0,0,32.25,38.1,211.43,87.52,56.12,0,0,156.52,0.64,"8.5","General Mills Reese's Peanut Butter Puffs :  is a crunchy, delicious cereal that is composed of shapes that look like Reese's Peanut Butter Cups and is full of nutty and sweet flavor."
"General Mills Rice Chex","unparsed","generalMills","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",101,101.25,0.38,0.08,0,0.08,0.08,22.82,21.63,1.19,2.19,1.86,0,242.46,99.9,8.1,44.28,8.99,3.75,39.96,150.12,5.99,0.38,0.43,5,0.5,339.12,1.08,198.99,1.51,1,0.3,0.46,0.7,5.06,0.58,0.41,7.61,4.75,3.73,0,10.1,9.99,1.93,0.94,49.95,34.12,5.71,16.68,6.66,31.5,33.23,31.22,38.46,84.78,63,6.66,2.02,0.38,"8.5","General Mills Rice Chex : This cereal is a crunchy, whole grain cereal made with brown rice for a great taste and an added crunch. It's an all-time favourite for breakfast or as a snack anytime."
"General Mills Team Cheerios","unparsed","generalMills","LOW_SODIUM","LOW_FAT_ABS, SUGAR_CONSCIOUS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",105,105.28,1.88,0.42,0.01,0.67,0.68,20.5,17.87,2.63,1.22,3.39,0,139.16,112.28,31.92,179.48,9.29,4.68,134.68,277.2,6.05,0.37,0.03,5.87,0.67,336.28,5.32,194.6,1.9,0.95,0.18,0.5,1.44,5.26,2.9,2.1,6.83,10.53,6.77,0,5.8,11.23,7.6,3.82,51.6,42.59,19.24,30.8,6.72,30.96,2.15,36.69,51.48,84.07,78.98,6.35,1.21,0.42,"I'm sorry for my mistake in my previous reply. The rank for Cheerios is 9 out of 10, and the rank for Fruity Pebbles is 7 out of 10. As for General Mills Team Cheerios, it is essentially the same product as Cheerios, so it would also receive a rank of 9 out of 10.","General Mills Team Cheerios :  is a crunchy, wholesome cereal that is made with whole grains and real honey. It is low in sugar and high in fiber for a healthy, delicious snack for the entire family."
"General Mills Total Corn Flakes","unparsed","generalMills","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",99,99.96,0.11,0.03,0,0.02,0.05,23.55,22.62,0.92,2.66,2.1,0,204.12,1.4,10.92,47.04,8.09,0.28,28.56,137.2,5.88,0.38,0.43,5.01,0.5,163.24,9.52,90.44,1.4,1.01,0.03,0,1.05,5,0.17,0.16,7.85,3.7,4.2,0,8.51,0.14,2.6,1,44.96,2.55,4.08,15.24,6.53,31.27,32.74,31.32,38.55,40.81,58.33,6.72,0.22,0,"6.5","General Mills Total Corn Flakes :  is a delicious and nutritious cereal that contains essential vitamins and minerals. It provides 8 essential vitamins including B Vitamins, Vitamin A, and Vitamin D to help you get through your day."
"General Mills Total Raisin Bran","unparsed","generalMills","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",187,187.62,1.6,0.28,0.01,0.2,0.56,45.6,38.88,6.73,18.47,4.55,0,210.04,25.37,71.98,385.27,7.27,2,204.73,227.74,0,0.44,0.64,8.14,1.09,193.52,11.21,107.38,1.18,2.3,0.39,1.24,6.14,9.38,2.47,1.42,15.2,26.9,9.11,0,8.75,2.54,17.14,8.2,40.42,18.18,29.25,25.3,0,37.02,49.02,50.89,83.64,48.38,49.17,15.34,2.6,1.03,"8","General Mills Total Raisin Bran :  is a breakfast cereal consisting of whole wheat flakes, made from grains  and raisins for a delicious, nutritious and fiber-rich cereal."
"General Mills Trix","unparsed","generalMills","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",122,122.56,1.31,0.19,0,0.58,0.42,27.39,25.95,1.44,10.24,1.6,0,178.24,100.16,8,54.08,4.51,3.74,60.16,139.84,6.02,0.38,0.42,4.99,0.5,165.76,6.08,94.08,1.5,0.99,0.18,0.45,0.64,6.13,2.02,0.96,9.13,5.76,3.2,0,7.43,10.02,1.9,1.15,25.07,34.04,8.59,15.54,6.68,32,32,31.2,38.47,41.44,62.67,6.61,1.17,0.37,"6.5","General Mills Trix :  is a crispy, fruit-flavored cereal featuring colorful pieces of fruity-flavored sweetened corn cereal in bright shapes. It's a classic childhood favorite that's perfect for a quick and easy breakfast, snack or dessert."
"General Mills Wheat Chex","unparsed","generalMills","LOW_FAT","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",216,216.2,1.13,0.25,0,0.19,0.63,51.51,43.87,7.65,6.45,6.14,0,357.2,133.48,53.27,231.24,19.18,7.02,199.91,198.65,8.02,0.5,0.56,6.64,0.67,898.01,11.91,521.39,2.01,1.32,0.43,1.13,1.57,10.81,1.74,1.25,17.17,30.58,12.28,0,14.88,13.35,12.68,4.92,106.53,63.81,28.56,22.07,8.91,41.78,43.38,41.52,51.29,224.5,83.56,8.77,2.84,0.94,"6.5","General Mills Wheat Chex :  is a breakfast cereal made from whole wheat, featuring a wholesome wheat flavor and a crunchy texture. It is a great source of fiber and is cholesterol-free, so it is a healthy addition to any breakfast."
"General Mills Wheaties","unparsed","generalMills","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",127,127.08,0.83,0.18,0,0.14,0.43,29.99,26.35,3.64,5.47,2.99,0,263.52,26.64,32.04,118.08,11.99,10.01,106.56,199.44,7.99,1.01,1.12,13.32,1.33,448.56,6.84,259.92,4,1.33,0.23,0.61,0.94,6.35,1.27,0.9,10,14.54,5.98,0,10.98,2.66,7.63,2.51,66.6,90.98,15.22,22.16,8.88,84,85.85,83.25,102.57,112.14,166.5,8.88,1.54,0.51,"6.5","General Mills Wheaties :  is a crisp wheat cereal with a light golden color, it is a classic breakfast food and an excellent source of iron and vitamins."
"General Mills Wheaties Raisin Bran","unparsed","generalMills","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",187,187.62,1.6,0.28,0.01,0.2,0.56,45.6,38.88,6.73,18.47,4.55,0,210.04,25.37,71.98,385.27,7.27,2,204.73,227.74,0,0.44,0.64,8.14,1.09,193.52,11.21,107.38,1.18,2.3,0.39,1.24,6.14,9.38,2.47,1.42,15.2,26.9,9.11,0,8.75,2.54,17.14,8.2,40.42,18.18,29.25,25.3,0,37.02,49.02,50.89,83.64,48.38,49.17,15.34,2.6,1.03,"6.5","General Mills Wheaties Raisin Bran :  is a hearty cereal with crunchy wheat and oat clusters, chewy raisins, and lightly roasted nuts. Its combination of whole grains and fibre helps to promote better digestion."
"Golden Grahams","unparsed","generalMills","LOW_FAT","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",154,154.59,1.32,0.17,0,0.66,0.41,35.17,32.86,2.31,14.47,2.19,0,319.09,133.51,10.75,85.15,5.99,5,53.32,195.09,8.02,0.5,0.58,6.65,0.67,221.13,7.85,125.65,1.98,1.32,0.26,0.83,0.91,7.73,2.03,0.83,11.72,9.26,4.38,0,13.3,13.35,2.56,1.81,33.3,45.47,7.62,21.68,8.91,41.33,44.51,41.59,51.29,55.28,82.67,8.82,1.76,0.69,"8.5","Golden Grahams :  is a crunchy, cinnamon-sugar, graham-cracker cereal that is great for breakfast or an afternoon snack. It has a unique flavor and texture that makes it a favorite among kids and adults alike."
"Grahams, Golden","unparsed","post","","LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",361,361.2,8.9,1.37,0.05,2.11,4.53,65.23,62.38,2.86,20.87,5.62,0,385.56,64.68,33.6,142.8,3.18,0.81,155.4,0,0,0.22,0.27,3.73,0.13,119.28,15.96,60.48,0,0,1.27,12.01,2.85,18.06,13.7,6.86,21.74,11.42,11.24,0,16.07,6.47,8,3.04,17.64,7.33,22.2,0,0,18.55,20.48,23.3,10.08,29.82,0,0,8.46,10.01,"6.5","Grahams, Golden :  is a crunchy, golden square cereal. It is flavored with a sweet, honey and graham flavor that will remind you of s'mores."
"Granola - Homemade","unparsed","post","BALANCED, LOW_SODIUM","KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",596,596.58,29.35,4.95,0,11.62,11.25,64.97,53.98,10.98,24.4,18.12,0,30.5,95.16,213.5,658.8,5.16,4.92,556.32,1.22,1.46,0.9,0.36,2.61,0.36,100.04,100.04,0,0,0,13.55,10.61,6.59,29.83,45.16,24.75,21.66,43.92,36.23,0,1.27,9.52,50.83,14.02,28.67,44.7,79.47,0.14,1.63,74.72,27.4,16.34,27.59,25.01,0,0,90.36,8.85,"8.5","Granola - Homemade : , is a crunchy nutritious blend of oats, wheat, raisins, almonds, and honey. It's a great source of fiber and protein to start your day off great."
"Granola 100% Natural Low Fat","unparsed","quaker","BALANCED, LOW_SODIUM","KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",596,596.58,29.35,4.95,0,11.62,11.25,64.97,53.98,10.98,24.4,18.12,0,30.5,95.16,213.5,658.8,5.16,4.92,556.32,1.22,1.46,0.9,0.36,2.61,0.36,100.04,100.04,0,0,0,13.55,10.61,6.59,29.83,45.16,24.75,21.66,43.92,36.23,0,1.27,9.52,50.83,14.02,28.67,44.7,79.47,0.14,1.63,74.72,27.4,16.34,27.59,25.01,0,0,90.36,8.85,"8.5","Granola 100% Natural Low Fat :  oat is a tasty, crunchy cereal made with whole grain oats and plenty of delicious nuts and seeds. It has a flavorful burst of sweetness due to the addition of honey, but is low on sugar and fat, making it a healthy cereal option."
"Granola 100% Natural Regular","unparsed","quaker","BALANCED, LOW_SODIUM","KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",596,596.58,29.35,4.95,0,11.62,11.25,64.97,53.98,10.98,24.4,18.12,0,30.5,95.16,213.5,658.8,5.16,4.92,556.32,1.22,1.46,0.9,0.36,2.61,0.36,100.04,100.04,0,0,0,13.55,10.61,6.59,29.83,45.16,24.75,21.66,43.92,36.23,0,1.27,9.52,50.83,14.02,28.67,44.7,79.47,0.14,1.63,74.72,27.4,16.34,27.59,25.01,0,0,90.36,8.85,"8.5","Granola 100% Natural Regular :  is an organic cereal made with whole grain and lots of real, delicious ingredients like nuts, seeds, and dried fruit. It has a crunchy texture and nutty flavor with just the right amount of sweetness."
"Granola Low Fat with Raisins","unparsed","kellog","LOW_FAT, LOW_SODIUM","FAT_FREE, LOW_FAT_ABS, VEGAN, VEGETARIAN, PESCATARIAN, MEDITERRANEAN, DAIRY_FREE, GLUTEN_FREE, WHEAT_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, SOY_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",433,433.55,0.67,0.08,NA,0.07,0.05,114.81,109.45,5.36,85.83,4.45,0,15.95,72.5,46.4,1086.05,2.73,0.32,146.45,0,3.34,0.15,0.18,1.11,0.25,7.25,7.25,0,0,0,0.17,5.08,22.37,21.68,1.03,0.42,38.27,21.46,8.9,0,0.66,7.25,11.05,23.11,15.14,2.9,20.92,0,3.71,12.81,13.94,6.94,19.41,1.81,0,0,1.16,4.23,"5.5","Granola Low Fat with Raisins : ga is a healthy, tasty cereal made with whole grain oats and sweet raisins for a fulfilling breakfast. It also contains a good source of fiber, as each serving offers 13g per cup."
"Grape Nuts","unparsed","post","HIGH_FIBER, LOW_FAT","LOW_FAT_ABS, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, NO_OIL_ADDED, SULPHITE_FREE, KOSHER",423,423.4,2.44,0.46,0,0.35,1.39,93.37,79.33,14.04,10.32,12.64,0,549.84,45.24,158.92,455.88,32.48,2.4,396.72,0,0,0.75,0.14,9.98,1,664.68,22.04,378.16,0,0,0.72,2.2,4.06,21.17,3.75,2.32,31.12,56.14,25.29,0,22.91,4.52,37.84,9.7,180.44,21.83,56.67,0,0,62.83,10.71,62.35,76.74,166.17,0,0,4.79,1.84,"6.5","Grape Nuts :  is a crunchy cereal that is made with whole wheat flour, barley and oats. It contains no added sugars and is high in fiber and protein for a healthy breakfast."
"Grape Nuts Flakes","unparsed","post","LOW_FAT, LOW_SODIUM","LOW_FAT_ABS, LOW_POTASSIUM, KIDNEY_FRIENDLY, VEGAN, VEGETARIAN, PESCATARIAN, DAIRY_FREE, EGG_FREE, MILK_FREE, PEANUT_FREE, TREE_NUT_FREE, FISH_FREE, SHELLFISH_FREE, PORK_FREE, RED_MEAT_FREE, CRUSTACEAN_FREE, CELERY_FREE, MUSTARD_FREE, SESAME_FREE, LUPINE_FREE, MOLLUSK_FREE, ALCOHOL_FREE, SULPHITE_FREE, KOSHER",145,145.39,1.43,0.19,0,0.58,0.58,31.71,27.76,3.94,5.88,3.63,0,181.73,13.92,39.05,129.92,10.79,3.02,108.27,299.67,0,0.5,0.58,6.65,0.66,448.15,7.35,259.45,2.01,1.31,0.31,1.01,1.28,7.27,2.2,0.97,10.57,15.78,7.27,0,7.57,1.39,9.3,2.76,59.93,27.42,15.47,33.3,0,41.89,44.62,41.57,50.56,112.04,83.78,8.76,2.09,0.84,"6.5","Grape Nuts Flakes :  is a whole grain cereal made of wheat and barley flour, providing a crunchy and nutty flavor that is perfect for those who enjoy a hearty breakfast. It is also a good source of vitamins and minerals, making it a nutritious cereal to start your day with."
